Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancel Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-01-27,06:48:28,CNR7439725,Success,CUS92435,Prime Plus,Isanpur,Bapugar,5.35,4.45,,,,,,,159.45,10.63,4.51,4.35
2025-01-30,08:43:51,CNR2903310,Incomplete,CUS12431,Prime Plus,Gurukul,Vastrapur,,,,,,,1,Vehicle Breakdown,219.75,14.65,,
2025-01-28,15:45:09,CNR4988567,Success,CUS69626,Mini,Manigar,Ellis Bridge,6.52,5.67,,,,,,,251.85,16.79,3.96,3.71
2025-01-29,05:12:39,CNR7740044,Success,CUS54641,Prime SUV,rol,CTM,3.29,3.76,,,,,,,130.25,4.7,3.88,4.75
2025-01-11,05:43:41,CNR1038863,Success,CUS93952,Mini,Vas,Sindhu Bhavan,4.07,4.02,,,,,,,111.2,2.52,4.31,4.09
2025-01-20,11:38:38,CNR2327985,Incomplete,CUS36600,Bike,Dani Limda,Judges Bunglow,,,,,,,1,Other Issue,253.2,16.88,,
2025-01-12,02:29:13,CNR8025289,Cancelled by Driver,CUS39166,Prime SUV,Shahpur,Raipur,,,,,1,More than permitted people in there,,,124.92,6.94,,
2025-01-28,01:17:25,CNR2578201,Cancelled by Customer,CUS63737,eBike,Jamalpur,Sindhu Bhavan,,,1,Change of plans,,,,,85.97,2.71,,
2025-01-01,18:22:33,CNR9873935,Success,CUS73348,Bike,Vas,Manigar,9.61,2.53,,,,,,,158.85,10.59,4.85,4.33
2025-01-12,01:21:46,CNR3952269,Success,CUS34257,Bike,Gurukul,Bodakdev,8.61,5.88,,,,,,,235.98,13.11,4.4,4.79
2025-01-22,06:52:58,CNR9566609,Success,CUS27222,Mini,Vatva,Thaltej,2.14,4.93,,,,,,,191.4,12.76,4.58,4.33
2025-01-04,20:44:19,CNR3902451,Incomplete,CUS46126,Prime SUV,Bopal,Ranip,,,,,,,1,Customer Demand,222.84,12.38,,
2025-01-31,01:37:10,CNR8108387,Incomplete,CUS43738,Auto,Kankaria,rol,,,,,,,1,Customer Demand,82.33,6.12,,
2025-01-22,05:13:42,CNR6691831,Success,CUS85658,Bike,Jamalpur,Vejalpur,8.32,2.19,,,,,,,275.4,18.36,4,3.87
2025-01-27,07:18:34,CNR6996823,Incomplete,CUS63797,eBike,Motera,Gurukul,,,,,,,1,Vehicle Breakdown,178.35,11.89,,
2025-01-27,22:00:48,CNR1230286,Success,CUS27746,Auto,Vastrapur,Vatva,7.92,5.97,,,,,,,108.8,2.22,3.81,4.36
2025-01-06,13:53:26,CNR3839714,Success,CUS30530,Prime SUV,Bopal,Gota,9.71,2.51,,,,,,,243.45,16.23,4.77,4.35
2025-01-20,22:34:59,CNR1470407,Incomplete,CUS34684,Auto,Vatva,Chandkheda,,,,,,,1,Vehicle Breakdown,100.35,6.69,,
2025-01-12,13:18:44,CNR8152182,Cancelled by Driver,CUS61561,Bike,Satellite,Judges Bunglow,,,,,1,Persol & Car related issues,,,117.72,6.54,,
2025-01-26,13:24:59,CNR9505253,Success,CUS82575,eBike,SG Highway,Bopal,5,3.97,,,,,,,165.96,9.22,4.36,3.58
2025-01-12,10:20:46,CNR8442145,Cancelled by Driver,CUS48342,Auto,Bopal,CTM,,,,,1,More than permitted people in there,,,147.6,8.2,,
2025-01-29,13:01:27,CNR7469019,Success,CUS64867,eBike,roda,Paldi,9.03,2.74,,,,,,,269.85,17.99,3.73,4.37
2025-01-12,15:39:38,CNR7133128,Incomplete,CUS74812,Mini,ranpura,Thaltej,,,,,,,1,Vehicle Breakdown,189.9,10.55,,
2025-01-12,20:48:17,CNR4376084,Cancelled by Customer,CUS23279,Prime Plus,Thaltej,Motera,,,1,AC is not working (Only for 4-wheelers),,,,,117.54,6.53,,
2025-01-24,16:01:47,CNR9900430,Cancelled by Driver,CUS58871,Prime Plus,Paldi,Paldi,,,,,1,Persol & Car related issues,,,102,2.89,,
2025-01-07,00:40:54,CNR3800955,Success,CUS76283,Prime Sedan,Sabarmati,Gurukul,6.84,7.88,,,,,,,92.56,3.11,3.87,3.6
2025-01-18,00:36:11,CNR2044239,Success,CUS35748,Mini,Khokhra,Saraspur,7.49,6.19,,,,,,,265.86,14.77,4.39,4.26
2025-01-11,22:05:03,CNR2016870,Cancelled by Customer,CUS55102,Bike,Saraspur,Sabarmati,,,1,AC is not working (Only for 4-wheelers),,,,,170.1,9.45,,
2025-01-20,13:19:14,CNR7299313,Cancelled by Driver,CUS31399,Prime Plus,Sabarmati,Nikol,,,,,1,More than permitted people in there,,,237.15,15.81,,
2025-01-16,15:41:33,CNR4281750,Success,CUS31457,Bike,Ranip,Jamalpur,8.43,7.98,,,,,,,168.6,11.24,3.81,4.83
2025-01-10,17:22:22,CNR1312242,Success,CUS39434,Prime Plus,Dariyapur,Ranip,3.61,6.88,,,,,,,294.75,19.65,4.37,4.76
2025-01-10,20:18:45,CNR4513000,Success,CUS57946,eBike,Nikol,Sabarmati,7.57,6.11,,,,,,,131.59,2.95,4.79,4.1
2025-01-20,14:09:49,CNR4133259,Success,CUS92834,Prime SUV,Isanpur,Motera,5.56,3.16,,,,,,,153,10.2,4.59,4.33
2025-01-15,03:19:05,CNR3260384,Success,CUS46048,eBike,Manigar,Vas,2.04,3.5,,,,,,,186.9,12.46,4.21,3.69
2025-01-30,06:06:34,CNR7137845,Success,CUS94971,Mini,Vastrapur,Dariyapur,6.18,7.65,,,,,,,207.15,13.81,4.82,3.97
2025-01-02,00:39:21,CNR5215547,Incomplete,CUS20347,Mini,Sindhu Bhavan,Vatva,,,,,,,1,Vehicle Breakdown,166.65,11.11,,
2025-01-27,22:17:12,CNR4022041,Success,CUS45324,Bike,Gurukul,Shahibaug,5.22,3.82,,,,,,,125.21,3.19,3.8,3.73
2025-01-25,05:57:05,CNR4542396,Success,CUS31987,Auto,rol,Shahibaug,4.34,4.51,,,,,,,236.88,13.16,3.73,4.88
2025-01-01,20:44:02,CNR7815019,Cancelled by Driver,CUS59419,Prime SUV,Lambha,vrangpura,,,,,1,Persol & Car related issues,,,249.6,16.64,,
2025-01-03,05:44:32,CNR8449552,Success,CUS34103,Bike,Gurukul,CTM,4.32,2.72,,,,,,,109.24,5.48,3.7,3.58
2025-01-02,10:31:09,CNR5141407,Incomplete,CUS72108,eBike,rol,Thaltej,,,,,,,1,Other Issue,87.68,2.33,,
2025-01-22,23:59:08,CNR5457756,Success,CUS36726,Prime Sedan,Bapugar,rol,2.93,4.75,,,,,,,212.4,14.16,3.82,3.77
2025-01-29,01:14:25,CNR8423575,Success,CUS12190,Prime SUV,Ellis Bridge,Ghatlodia,2.27,5.8,,,,,,,158.85,10.59,4.99,4.11
2025-01-08,19:41:56,CNR1742438,Incomplete,CUS81031,Auto,Dariyapur,Khokhra,,,,,,,1,Other Issue,208.65,13.91,,
2025-01-27,14:27:42,CNR8256550,Incomplete,CUS29635,Prime SUV,Prahlad gar,Kalupur,,,,,,,1,Vehicle Breakdown,217.05,14.47,,
2025-01-28,21:20:01,CNR9749025,Success,CUS25255,Auto,Kankaria,Ellis Bridge,6.48,4.21,,,,,,,256.35,17.09,4.44,4.1
2025-01-23,10:15:36,CNR8873216,Success,CUS46804,Prime Sedan,Bapugar,Vastrapur,4.69,7.65,,,,,,,154.5,10.3,4.48,3.7
2025-01-22,00:47:49,CNR6393641,Success,CUS14625,Mini,SG Highway,Dariyapur,4.34,3.66,,,,,,,153.6,10.24,3.63,4.79
2025-01-08,16:47:52,CNR4988597,Success,CUS64704,Mini,Behrampura,Khokhra,3.58,5.8,,,,,,,89.74,1.94,3.96,4.91
2025-01-11,13:51:49,CNR7472496,Success,CUS39620,Prime Sedan,Jodhpur,Vas,2.42,6.64,,,,,,,354.78,19.71,4.67,4.6
2025-01-23,11:12:24,CNR5714646,Success,CUS48489,Prime Plus,Thaltej,Shahpur,9.63,7.49,,,,,,,152.55,10.17,4.19,3.93
2025-01-31,11:40:05,CNR2541890,Success,CUS77932,Prime Plus,Isanpur,Paldi,6.8,3.61,,,,,,,94.04,5.55,3.61,3.57
2025-01-04,08:23:32,CNR1056391,Success,CUS66469,Mini,Nikol,Jodhpur,5.04,6.1,,,,,,,117.54,6.53,4.09,4.13
2025-01-22,20:20:35,CNR3788712,Cancelled by Driver,CUS39076,Prime Plus,Memgar,Prahlad gar,,,,,1,Persol & Car related issues,,,103.2,6.88,,
2025-01-13,10:17:03,CNR5730541,Incomplete,CUS86401,Prime Plus,Ranip,Vejalpur,,,,,,,1,Vehicle Breakdown,90.05,3.08,,
2025-01-27,18:42:24,CNR4965727,Success,CUS72996,Prime Plus,Dariyapur,Shahibaug,8.04,5.78,,,,,,,119.25,7.95,4,3.87
2025-01-17,02:54:34,CNR2505421,Success,CUS67765,eBike,Behrampura,Ellis Bridge,5.2,4.2,,,,,,,111.75,7.45,4.87,3.72
2025-01-17,11:00:50,CNR3710654,Success,CUS37664,Prime Sedan,Khokhra,Dani Limda,2.78,4.22,,,,,,,187.05,12.47,3.52,3.99
2025-01-22,20:40:05,CNR3279610,Success,CUS48927,Prime SUV,Vatva,roda,4.47,4.89,,,,,,,130.95,8.73,4.58,4.79
2025-01-12,13:49:17,CNR6345329,Success,CUS68669,Prime Sedan,Dani Limda,Gota,6.61,2.94,,,,,,,131.09,1.12,3.97,4.82
2025-01-31,11:29:24,CNR5102885,Success,CUS42863,Prime SUV,Prahlad gar,Bapugar,9.71,3.96,,,,,,,112.22,4.05,4.55,4.33
2025-01-27,12:52:57,CNR2193109,Success,CUS75005,eBike,Kankaria,Ambawadi,2.76,2.22,,,,,,,248.4,16.56,4.73,4.64
2025-01-28,06:24:24,CNR2838277,Incomplete,CUS19793,Bike,Judges Bunglow,SG Highway,,,,,,,1,Customer Demand,113.4,7.56,,
2025-01-15,15:50:06,CNR8566388,Cancelled by Customer,CUS25714,Auto,Chandkheda,Sindhu Bhavan,,,1,AC is not working (Only for 4-wheelers),,,,,115.65,7.71,,
2025-01-01,02:38:21,CNR7162215,Cancelled by Driver,CUS73381,Bike,Sindhu Bhavan,ranpura,,,,,1,The customer was coughing/sick,,,209.1,13.94,,
2025-01-13,12:08:21,CNR3865891,Cancelled by Driver,CUS34163,Prime Plus,Odhav,Vastrapur,,,,,1,Persol & Car related issues,,,229.8,15.32,,
2025-01-22,17:42:08,CNR9719096,Success,CUS41129,Prime SUV,Bodakdev,SG Highway,2.23,5.13,,,,,,,250.5,16.7,4.37,4.08
2025-01-30,14:35:22,CNR4534344,Success,CUS46197,Prime Plus,Prahlad gar,Paldi,3.12,5.14,,,,,,,143.4,9.56,3.89,4.08
2025-01-23,14:42:15,CNR3922168,Cancelled by Driver,CUS99210,Bike,Manigar,Satellite,,,,,1,More than permitted people in there,,,120.99,4.46,,
2025-01-09,02:20:44,CNR2809874,Cancelled by Driver,CUS78757,Prime Sedan,roda,Behrampura,,,,,1,Customer related issue,,,141.99,1.48,,
2025-01-20,12:40:43,CNR9906355,Success,CUS83854,eBike,Bopal,Judges Bunglow,9.57,7.33,,,,,,,218.4,14.56,3.56,3.63
2025-01-07,02:04:47,CNR6721994,Incomplete,CUS77552,Prime Plus,Ambawadi,Lambha,,,,,,,1,Other Issue,295.5,19.7,,
2025-01-10,14:38:45,CNR4501202,Success,CUS71195,Bike,Vejalpur,Sindhu Bhavan,2.99,6.96,,,,,,,214.65,14.31,4.45,4.18
2025-01-09,18:45:31,CNR9974301,Incomplete,CUS68799,Auto,Sola,Motera,,,,,,,1,Vehicle Breakdown,84.33,4.79,,
2025-01-07,14:41:45,CNR2686128,Success,CUS43367,Bike,Bapugar,ranpura,7.05,2.93,,,,,,,134.75,1.81,4.54,3.77
2025-01-05,08:17:41,CNR1211438,Incomplete,CUS42503,Auto,Ranip,roda,,,,,,,1,Vehicle Breakdown,299.88,16.66,,
2025-01-09,11:39:34,CNR1519007,Cancelled by Driver,CUS15233,Mini,roda,Jamalpur,,,,,1,Customer related issue,,,279.15,18.61,,
2025-01-27,13:36:00,CNR8493976,Cancelled by Driver,CUS40924,eBike,Kalupur,Sola,,,,,1,Persol & Car related issues,,,244.65,16.31,,
2025-01-14,15:00:35,CNR8921692,Success,CUS39305,eBike,Saraspur,Bodakdev,3.04,6.07,,,,,,,153.45,10.23,4.08,4.52
2025-01-01,16:49:32,CNR9514760,Incomplete,CUS30787,Auto,Paldi,Shahibaug,,,,,,,1,Vehicle Breakdown,102.05,2.87,,
2025-01-31,17:35:59,CNR1253535,Cancelled by Driver,CUS23534,Bike,roda,Science City,,,,,1,Customer related issue,,,284.55,18.97,,
2025-01-18,09:47:56,CNR8676411,Success,CUS11932,eBike,Prahlad gar,Dani Limda,8.87,3.6,,,,,,,133.47,5.02,3.84,4.25
2025-01-06,04:27:43,CNR4002548,Cancelled by Customer,CUS41926,Bike,Isanpur,Dani Limda,,,1,Driver asked to cancel,,,,,138.75,9.25,,
2025-01-29,05:23:19,CNR5203927,Success,CUS47259,Bike,Vejalpur,Bodakdev,2.65,6.24,,,,,,,257.25,17.15,4.87,4.33
2025-01-19,04:21:41,CNR4369870,Success,CUS97372,Bike,Rakhial,Nikol,3.99,3.16,,,,,,,135,7.5,3.69,3.56
2025-01-12,06:22:13,CNR1310158,Cancelled by Customer,CUS85483,Prime Sedan,Bodakdev,Lambha,,,1,AC is not working (Only for 4-wheelers),,,,,223.56,12.42,,
2025-01-27,10:30:07,CNR3580481,Success,CUS17028,Prime SUV,Gurukul,Bapugar,7.65,5.97,,,,,,,107.81,5.96,4.97,4.09
2025-01-08,01:59:51,CNR6932117,Success,CUS37946,Bike,Vatva,Thaltej,6.03,3.84,,,,,,,115.2,7.68,4.96,4.3
2025-01-31,20:56:55,CNR5906415,Incomplete,CUS13021,Auto,Sindhu Bhavan,Vatva,,,,,,,1,Other Issue,120.81,3.71,,
2025-01-11,08:37:07,CNR5847595,Success,CUS70170,Auto,Science City,Gurukul,2,5.55,,,,,,,224.64,12.48,4.14,4.12
2025-01-18,13:17:35,CNR7455827,Success,CUS71722,eBike,Vejalpur,Bopal,9.5,6.45,,,,,,,255.6,14.2,4.46,4.42
2025-01-19,00:58:53,CNR8985014,Success,CUS25676,eBike,Ambawadi,Satellite,4.17,3.03,,,,,,,105.3,5.85,3.92,4.12
2025-01-17,18:52:18,CNR2779589,Success,CUS46503,eBike,Kankaria,Motera,9.6,4.73,,,,,,,133.35,8.89,3.86,4.26
2025-01-09,08:12:59,CNR1737050,Success,CUS70267,Prime Sedan,ranpura,Ambawadi,8.55,3.02,,,,,,,163.95,10.93,3.67,4.61
2025-01-08,18:23:57,CNR8743497,Success,CUS24425,eBike,SG Highway,Vastrapur,4.08,7.92,,,,,,,233.1,15.54,3.88,4.67
2025-01-11,23:11:00,CNR1743088,Success,CUS64333,Bike,Gota,Sindhu Bhavan,3.3,4.16,,,,,,,171.18,9.51,4.43,4.82
2025-01-17,15:05:16,CNR6372372,Success,CUS83295,Prime Sedan,Bopal,Bopal,8.33,7.34,,,,,,,148.5,9.9,4.28,4.6
2025-01-28,06:47:53,CNR2590420,Success,CUS43501,Auto,Sabarmati,roda,4.04,6.72,,,,,,,272.85,18.19,4.03,3.55
2025-01-15,08:30:48,CNR3029192,Cancelled by Customer,CUS20567,Prime SUV,Satellite,SG Highway,,,1,Driver asked to cancel,,,,,214.65,14.31,,
2025-01-29,17:58:20,CNR6857290,Success,CUS92140,Prime Plus,Dani Limda,Science City,6.75,2.38,,,,,,,170.4,11.36,3.59,3.89
2025-01-19,05:09:33,CNR2545281,Cancelled by Customer,CUS41050,Auto,Manigar,rol,,,1,Driver is not moving towards pickup location,,,,,274.86,15.27,,
2025-01-24,01:17:40,CNR3232619,Incomplete,CUS80765,Bike,SG Highway,Shahibaug,,,,,,,1,Other Issue,107.71,2.86,,
2025-01-24,06:46:23,CNR4560566,Success,CUS24505,Prime Sedan,Prahlad gar,Satellite,6.01,6.62,,,,,,,178.35,11.89,4.39,3.81
2025-01-17,18:52:57,CNR8602131,Success,CUS46695,Prime Sedan,Bodakdev,Bopal,8.53,5.88,,,,,,,84.45,3.03,3.88,4.42
2025-01-29,03:15:29,CNR7540810,Success,CUS85316,Prime Sedan,Lambha,Jamalpur,7.06,4.98,,,,,,,192.15,12.81,4.3,4.76
2025-01-18,15:58:20,CNR8816015,Incomplete,CUS53674,Bike,Raipur,Ghatlodia,,,,,,,1,Vehicle Breakdown,122.41,3.89,,
2025-01-10,01:26:28,CNR2642736,Incomplete,CUS85904,Prime SUV,Thaltej,Sindhu Bhavan,,,,,,,1,Vehicle Breakdown,140.55,5.26,,
2025-01-03,07:25:05,CNR5155392,Cancelled by Driver,CUS30228,Prime Plus,Sindhu Bhavan,Prahlad gar,,,,,1,The customer was coughing/sick,,,257.25,17.15,,
2025-01-13,01:41:44,CNR3778216,Cancelled by Driver,CUS32655,Prime SUV,Vejalpur,Manigar,,,,,1,Persol & Car related issues,,,126.75,8.45,,
2025-01-26,23:32:10,CNR3424845,Success,CUS42392,eBike,roda,Shahpur,4.12,4.46,,,,,,,314.1,17.45,4.37,4.76
2025-01-28,23:07:13,CNR2801470,Incomplete,CUS17745,eBike,Ellis Bridge,Asarwa,,,,,,,1,Vehicle Breakdown,105,7,,
2025-01-30,00:34:55,CNR4508810,Cancelled by Driver,CUS37390,Bike,Judges Bunglow,Bopal,,,,,1,Persol & Car related issues,,,149.12,5.69,,
2025-01-14,12:26:55,CNR1900886,Incomplete,CUS37711,eBike,Jamalpur,Ellis Bridge,,,,,,,1,Other Issue,255.45,17.03,,
2025-01-22,04:39:52,CNR9843500,Success,CUS46558,Prime Sedan,Shahpur,Sola,6.39,3.63,,,,,,,224.4,14.96,4.41,4.59
2025-01-28,18:44:04,CNR6310390,Success,CUS90607,Bike,Motera,vrangpura,9.54,6.44,,,,,,,179.1,11.94,4.93,4.6
2025-01-27,01:58:12,CNR2376826,Success,CUS16133,Prime Plus,Dariyapur,Rakhial,8.85,6.05,,,,,,,121.05,8.07,4.89,4.25
2025-01-05,21:44:43,CNR3304175,Success,CUS55643,Bike,Ambawadi,vrangpura,8.45,4.25,,,,,,,295.02,16.39,4.45,4.09
2025-01-22,09:07:33,CNR1940220,Success,CUS67016,Prime Plus,Bodakdev,Memgar,2.07,7.34,,,,,,,118.57,1.35,4.26,4.67
2025-01-30,11:20:24,CNR6463830,Success,CUS69553,Prime Sedan,Sindhu Bhavan,Kankaria,4.07,7.69,,,,,,,268.35,17.89,3.8,4.03
2025-01-07,18:57:11,CNR9978184,Success,CUS94452,eBike,Rakhial,Lambha,3.96,4.19,,,,,,,118.2,7.88,3.69,4.82
2025-01-27,09:43:44,CNR5276493,Cancelled by Driver,CUS39542,Bike,SG Highway,Thaltej,,,,,1,Persol & Car related issues,,,87.93,2.92,,
2025-01-30,07:38:40,CNR9869044,Success,CUS42987,eBike,Dani Limda,rol,4.42,4.25,,,,,,,213,14.2,4.22,4.75
2025-01-17,07:42:44,CNR3908451,Success,CUS38582,Prime Plus,Thaltej,ranpura,3.04,5.99,,,,,,,119.51,2.35,3.65,3.97
2025-01-30,10:37:26,CNR4260394,Success,CUS38411,Bike,Kankaria,Vas,5.5,2.9,,,,,,,107.66,1.68,4.14,3.67
2025-01-29,04:13:20,CNR4039489,Success,CUS30256,Prime Plus,ranpura,rol,4.86,4.95,,,,,,,177,11.8,4.25,3.59
2025-01-24,13:23:58,CNR4114842,Success,CUS77729,Prime Plus,Rakhial,Sindhu Bhavan,5.58,6.52,,,,,,,219.75,14.65,4.96,4.15
2025-01-15,01:26:18,CNR6268494,Success,CUS74791,Prime SUV,Prahlad gar,Shahibaug,3.26,7.97,,,,,,,280.95,18.73,4.48,4.48
2025-01-08,00:18:25,CNR5337685,Cancelled by Driver,CUS47195,Prime Plus,Ghatlodia,Sola,,,,,1,Persol & Car related issues,,,177,11.8,,
2025-01-22,02:22:03,CNR6754030,Success,CUS64806,Prime Plus,Motera,Gurukul,3.26,7.66,,,,,,,111.45,7.43,3.99,4.76
2025-01-03,09:55:23,CNR1807481,Incomplete,CUS32674,Mini,Chandkheda,Saraspur,,,,,,,1,Customer Demand,208.95,13.93,,
2025-01-09,08:18:44,CNR4371253,Success,CUS72637,Prime Plus,Dariyapur,Dani Limda,7.63,7.36,,,,,,,212.55,14.17,3.61,4.89
2025-01-17,03:34:40,CNR7903706,Success,CUS33112,Mini,Paldi,Vatva,9.62,7.79,,,,,,,158.4,10.56,3.82,3.55
2025-01-22,02:44:56,CNR9583546,Cancelled by Driver,CUS45489,Prime SUV,Judges Bunglow,Khokhra,,,,,1,Persol & Car related issues,,,126.84,5.87,,
2025-01-26,20:15:56,CNR4928010,Success,CUS25354,Prime Plus,Prahlad gar,Saraspur,7.26,2.54,,,,,,,321.66,17.87,3.77,4.11
2025-01-02,07:58:28,CNR6798709,Success,CUS49492,Prime Sedan,Thaltej,Paldi,8.3,2.62,,,,,,,216.9,14.46,3.86,3.8
2025-01-07,10:53:07,CNR5436330,Success,CUS19389,eBike,Thaltej,Gurukul,4.95,6.47,,,,,,,85.82,3.93,4.21,4.26
2025-01-17,10:55:05,CNR1994202,Cancelled by Driver,CUS22325,Mini,Raipur,Bapugar,,,,,1,Persol & Car related issues,,,221.85,14.79,,
2025-01-20,21:14:41,CNR1803906,Success,CUS93754,Auto,Gurukul,Khokhra,6.15,7.18,,,,,,,184.35,12.29,4.57,3.7
2025-01-25,13:28:32,CNR5234514,Cancelled by Driver,CUS51913,Prime Plus,Isanpur,SG Highway,,,,,1,The customer was coughing/sick,,,308.88,17.16,,
2025-01-02,16:47:14,CNR1752108,Success,CUS66640,Prime SUV,Vejalpur,Rakhial,6.95,7.01,,,,,,,273.15,18.21,3.69,4.5
2025-01-14,10:19:25,CNR9164902,Success,CUS42672,Prime Sedan,Shahibaug,Dariyapur,8.57,7.18,,,,,,,190.8,12.72,4.39,4.05
2025-01-22,08:49:37,CNR8299559,Cancelled by Driver,CUS11912,Prime Sedan,Bapugar,Satellite,,,,,1,The customer was coughing/sick,,,116.7,6.59,,
2025-01-18,21:27:19,CNR2274916,Success,CUS20086,Prime SUV,rol,Ambawadi,4.09,6.43,,,,,,,251.64,13.98,4.95,4.66
2025-01-17,11:30:22,CNR2892630,Success,CUS99232,Prime Sedan,Manigar,Shahibaug,5.32,3.26,,,,,,,276.6,18.44,4.75,4.76
2025-01-21,13:21:27,CNR2990213,Success,CUS14935,eBike,Thaltej,Rakhial,8.73,3.02,,,,,,,222.75,14.85,4.36,4.34
2025-01-14,22:18:07,CNR3032209,Incomplete,CUS97339,Prime Sedan,Sola,SG Highway,,,,,,,1,Customer Demand,178.65,11.91,,
2025-01-12,23:20:36,CNR4006423,Success,CUS92117,Prime SUV,Memgar,Odhav,3.02,5.79,,,,,,,199.98,11.11,3.86,3.88
2025-01-27,21:52:39,CNR6976939,Success,CUS79267,Prime SUV,Lambha,Satellite,2.09,7.39,,,,,,,86.47,3.47,4.38,3.59
2025-01-23,17:07:33,CNR7449700,Success,CUS99162,Bike,Prahlad gar,Khokhra,6.03,4.39,,,,,,,109.9,2.95,4.68,4.61
2025-01-14,19:45:12,CNR3298952,Incomplete,CUS40108,Mini,CTM,Ambawadi,,,,,,,1,Customer Demand,202.35,13.49,,
